Date,PX_LAST
6/30/2020,-31.4
3/31/2020,-5
12/31/2019,2.4
9/30/2019,2.6
6/30/2019,1.5
3/31/2019,2.9
12/31/2018,1.3
9/30/2018,2.1
6/30/2018,2.7
3/31/2018,3.8
12/31/2017,3.9
9/30/2017,2.9
6/30/2017,1.7
3/31/2017,2.3
12/31/2016,2.5
9/30/2016,2.2
6/30/2016,1.3
3/31/2016,2.3
12/31/2015,0.6
9/30/2015,1.5
6/30/2015,2.7
3/31/2015,3.8
12/31/2014,2.3
9/30/2014,5
6/30/2014,5.5
3/31/2014,-1.1
12/31/2013,3.2
9/30/2013,3.2
6/30/2013,0.5
3/31/2013,3.6
12/31/2012,0.5
9/30/2012,0.5
6/30/2012,1.7
3/31/2012,3.2
12/31/2011,4.7
9/30/2011,-0.1
6/30/2011,2.9
3/31/2011,-1
12/31/2010,2
9/30/2010,3
6/30/2010,3.7
3/31/2010,1.5
12/31/2009,4.5
9/30/2009,1.5
6/30/2009,-0.6
3/31/2009,-4.4
12/31/2008,-8.4
9/30/2008,-2.1
6/30/2008,2.1
3/31/2008,-2.3
12/31/2007,2.5
9/30/2007,2.2
6/30/2007,2.3
3/31/2007,0.9
12/31/2006,3.5
9/30/2006,0.6
6/30/2006,0.9
3/31/2006,5.4
12/31/2005,2.6
9/30/2005,3.6
6/30/2005,1.9
3/31/2005,4.5